Ticker,Shares,RawWeight
NVDA,10,9.92
AAPL,10,8.56
MSFT,10,8.01
AVGO,10,5.82
AMZN,10,5.49
GOOGL,10,3.51
TSLA,10,3.31
GOOG,10,3.29
META,10,2.78
NFLX,10,2.55
AMD,10,2.18
PLTR,10,2.17
COST,10,2.10
CSCO,10,1.52
MU,10,1.42
TMUS,10,1.24
ISRG,10,1.06
LRCX,10,1.06
LIN,10,1.04
PEP,10,1.02
SHOP,10,0.99
QCOM,10,0.99
INTU,10,0.95
AMAT,10,0.95
AMGN,10,0.94
APP,10,0.93
BKNG,10,0.87
INTC,10,0.86
KLAC,10,0.82
GILD,10,0.79
TXN,10,0.77
ADBE,10,0.74
PANW,10,0.73
CRWD,10,0.71
HON,10,0.66
ADI,10,0.62
VRTX,10,0.58
CEG,10,0.57
MELI,10,0.55
ADP,10,0.53
CMCSA,10,0.53
SBUX,10,0.51
PDD,10,0.47
ASML,10,0.46
CDNS,10,0.45
ORLY,10,0.43
MAR,10,0.41
DASH,10,0.41
MRVL,10,0.40
CTAS,10,0.39
SNPS,10,0.38
MDLZ,10,0.38
REGN,10,0.37
MNST,10,0.36
AEP,10,0.34
CSX,10,0.34
ADSK,10,0.33
PYPL,10,0.33
FTNT,10,0.33
TRI,10,0.32
DDOG,10,0.32
MSTR,10,0.31
IDXX,10,0.30
WBD,10,0.28
ROST,10,0.28
ABNB,10,0.27
PCAR,10,0.27
AZN,10,0.27
NXPI,10,0.27
EA,10,0.26
ZS,10,0.26
WDAY,10,0.25
ROP,10,0.25
XEL,10,0.25
FAST,10,0.25
BKR,10,0.24
EXC,10,0.24
AXON,10,0.23
TTWO,10,0.23
CCEP,10,0.22
FANG,10,0.22
PAYX,10,0.21
CPRT,10,0.21
KDP,10,0.19
CTSH,10,0.19
GEHC,10,0.18
MCHP,10,0.16
VRSK,10,0.15
KHC,10,0.15
CSGP,10,0.15
ODFL,10,0.15
CHTR,10,0.15
TEAM,10,0.13
BIIB,10,0.12
DXCM,10,0.12
ARM,10,0.11
ON,10,0.10
LULU,10,0.10
TTD,10,0.10
CDW,10,0.10
GFS,10,0.10
CASH,,0.09
